Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60771.3,-5.621022,55.33077,-26.4604,94.47555,0.002379192,1,5.259527,53.12097,4.55557,0,0
60771.4,-21.06614,55.2183,-26.51533,95.66758,0.002971744,1,5.083362,53.12097,4.55557,0,0
60771.5,-0.6538624,55.2183,-26.51533,95.66758,0.002971744,1,5.083362,53.12097,4.55557,0,0
60771.6,8.668198,55.18264,-26.21872,97.32654,0.002214595,1,4.839441,53.12097,4.55557,0,0
60771.7,13.50461,55.18264,-26.21872,97.32654,0.002214595,1,4.839441,53.12097,4.55557,0,0
60771.8,14.16803,55.27316,-26.17478,96.27183,-0.001165143,1,4.622623,53.12097,4.55557,0,0
60771.9,15.69647,55.27316,-26.17478,96.27183,-0.001165143,1,4.622623,53.12097,4.55557,0,0
60772,14.88713,55.11132,-26.15282,95.84885,-0.001867426,1,4.47356,53.12097,4.55557,0,0
60772.1,21.56754,55.11132,-26.15282,95.84885,-0.001867426,1,4.47356,53.12097,4.55557,0,0
60772.2,21.48777,54.6395,-26.43294,96.41466,0.00043694,1,4.310946,53.12097,4.55557,0,0
60772.3,51.30863,54.6395,-26.43294,96.41466,0.00043694,1,4.310946,50.30452,4.55557,1,0
60772.4,4.940044,54.40633,-26.42745,95.14023,0.000305262,1,4.053475,44.6716,4.55557,0,0
60772.5,-3.09675,54.40633,-26.42745,95.14023,0.000305262,1,4.053475,44.6716,4.55557,0,0
60772.6,11.21729,54.17041,-25.80129,94.54695,-0.001944238,1,3.904413,44.6716,4.55557,0,0
60772.7,25.78819,54.17041,-25.80129,94.54695,-0.001944238,1,3.904413,44.6716,4.55557,0,0
60772.8,17.82263,53.69036,-25.50469,95.11826,-0.003217127,1,3.809554,44.6716,4.55557,0,0
60772.9,19.86853,53.69036,-25.50469,95.11826,-0.003217127,1,3.809554,44.6716,4.55557,0,0
60773,21.90614,53.11705,-26.13634,95.62363,-0.002756253,1,3.619839,44.6716,4.55557,0,0
60773.1,11.52462,53.11705,-26.13634,95.62363,-0.002756253,1,3.619839,44.6716,4.55557,0,0
60773.2,0.665859,52.33799,-26.08141,95.0798,-0.003359778,1,3.430122,44.6716,4.55557,0,0
60773.3,-25.02766,52.33799,-26.08141,95.0798,-0.003359778,1,3.430122,44.6716,4.55557,0,0
60773.4,-26.60086,51.83873,-24.36772,95.40391,-0.002306353,1,3.253958,44.6716,4.55557,0,0
60773.5,-33.30173,51.83873,-24.36772,95.40391,-0.002306353,1,3.253958,44.6716,4.55557,0,0
60773.6,7.503756,51.36417,-25.26851,93.67353,0.001248955,1,3.091344,47.38514,4.55557,1,0
60773.7,-49.13198,51.36417,-25.26851,93.67353,0.001248955,1,3.091344,52.81222,4.55557,0,0
60773.8,-49.94565,49.51254,-25.33991,93.39887,-0.000583565,1,2.996486,52.81222,4.55557,0,0
60773.9,-56.49135,49.51254,-25.33991,93.39887,-0.000583565,1,2.996486,52.81222,4.55557,0,0
60774,-31.57872,47.73498,-23.53285,95.02487,-0.006278642,1,2.847424,52.81222,4.55557,0,0
60774.1,-32.65752,47.73498,-23.53285,95.02487,-0.006278642,1,2.847424,52.81222,4.55557,0,0
60774.2,-24.29384,45.5048,-22.66503,96.50805,-0.004841157,1,2.657707,52.81222,4.55557,0,0
60774.3,-11.54908,45.5048,-22.66503,96.50805,-0.004841157,1,2.657707,52.81222,4.55557,0,0
60774.4,-1.492482,42.86863,-21.92353,98.28235,-0.004007195,1,2.522196,52.81222,4.55557,0,0
60774.5,9.399422,42.86863,-21.92353,98.28235,-0.004007195,1,2.522196,52.81222,4.55557,0,0
